"V1" "V2"
"1" 23.5438443171375 23.6254099874013
"2" 16.2534763372873 16.2997947312538
"3" 18.8447989777208 19.4046128142507
"4" 18.8593446425875 19.3449285733158
"5" 19.7796265480848 20.1877854017694
"6" 21.0361685608847 21.7763197232871
"7" 15.3696768021124 15.7528723768961
"8" 17.0370983656522 18.4382934166295
"9" 30.3664686252582 30.5318263428255
"10" 21.5900616349011 22.0474269259242
"11" 17.0361651662642 17.7232814946934
"12" 22.5883543041009 22.8310910031525
"13" 27.8801960752012 28.4260950499566
"14" 22.2261403099648 22.3111322047582
"15" 28.4738932862864 28.9927334000392
"16" 23.3374755803089 23.4610925028462
"17" 20.1016294680784 20.6159069089282
"18" 27.0207521979883 27.3107848389461
"19" 21.3286640359021 22.101561636553
"20" 32.1283752517368 32.3086760472617
"21" 23.8921744513263 24.3865906346143
"22" 21.6593106821483 22.0529020083828
"23" 27.8996122466028 28.3585532590617
"24" 16.6251234090974 17.3516368880013
"25" 16.7195718010124 17.0054594079035
"26" 29.8615647187199 31.0062677419802
"27" 23.7795488056089 24.4578182966727
"28" 22.1311708535431 22.698546673267
"29" 28.2200200819945 28.4372761273755
"30" 29.7442090194087 30.1782683729609
"31" 19.1990890313943 20.1494657370901
"32" 20.695430053531 20.7714047839781
"33" 29.2687062207385 29.7760650821647
"34" 27.5211859842014 27.6333786300542
"35" 23.2440972123422 23.7353594056372
"36" 15.6786873592211 16.194914101226
"37" 19.7541493217052 20.3950014462528
"38" 17.6356942484775 17.8105389793326
"39" 18.1683569314708 18.6620076559879
"40" 16.5190047650133 16.9961253350177
"41" 26.4189800377325 26.8357936110409
"42" 14.7167378533225 14.9623798780513
"43" 18.2314577048181 18.7497678954958
"44" 26.2356343109268 26.4338996893291
"45" 24.4504569504184 25.2264787783716
"46" 19.7248255712214 20.2487468058116
"47" 23.2552680829096 23.8411089874307
"48" 20.9077615300182 21.8773232073957
"49" 14.0268197521487 14.0623324120169
"50" 27.2247868109464 27.387046775873
"51" 32.2892092676884 32.470866281774
"52" 16.4327351701887 17.218134160624
"53" 19.6560664239529 20.2316237983115
"54" 19.645900191689 20.0432624197783
"55" 31.6850358392993 31.9968546535925
"56" 16.5353607705359 16.8310636030969
"57" 17.4020028655145 17.5241013299543
"58" 13.4294108010331 13.5641409558992
"59" 21.725769974677 22.3163656089556
"60" 20.2479543484986 20.9333246065445
"61" 16.1774088104578 16.8236979921836
"62" 19.4956420102215 20.4954764013477
"63" 14.2238568209621 14.2651685599725
"64" 19.2635593403464 20.08563973145
"65" 19.9725261887443 20.085159428729
"66" 16.1589834094085 16.9924798629549
"67" 28.596040310448 28.6570753856687
"68" 19.2495991563487 19.940956195471
"69" 16.6418174543957 17.389099679384
"70" 15.9173129125637 16.1960769295313
"71" 16.7935244687093 17.598868305528
"72" 18.5314005210349 19.004572053521
"73" 18.1191310114841 18.5967391023202
"74" 16.6056863923743 16.9262885048206
"75" 19.6085813734475 20.5026983988417
"76" 23.1993796768677 23.8657874393358
"77" 20.7490298523128 21.7402554874034
"78" 28.4720940709363 28.8638273434964
"79" 22.8205314392619 23.2708814956864
"80" 31.8790664206202 32.0015309553602
"81" 18.7398130685005 19.1896604184988
"82" 21.6839075706517 22.4131734989363
"83" 22.9203245178453 23.4854107925428
"84" 17.8496600988958 18.4395707109071
"85" 32.116762834793 32.3736131617871
"86" 30.5957447922381 30.9832602861584
"87" 18.3375109332055 18.8518506411837
"88" 18.9360744977444 19.5418583428092
"89" 29.5580184378344 29.7945510874388
"90" 20.4874657004645 21.0128474825867
"91" 17.9195340459934 18.3162718824947
"92" 20.3882929506519 21.4098224060654
"93" 20.2975388464258 20.9213715522754
"94" 15.5608919243131 15.8939498868598
"95" 18.0857615445141 18.7652171679388
"96" 30.3154665917039 31.3508088377115
"97" 15.4938121564782 16.2941056769699
"98" 17.1299106074095 17.3971120023823
"99" 19.0825640510115 19.3584651755627
"100" 31.2891637568751 31.6002507870528
