pluie  rendement
0.0556	0.1316
0.0623	0.0753
0.1554	0.2547
0.1651	0.3401
0.1659	0.4015
0.173	0.3765
0.1902	0.3459
0.2077	0.4477
0.2201	0.4137
0.2235	0.3959
0.2299	0.4215
0.2303	0.4139
0.2361	0.4444
0.2443	0.4975
0.2489	0.4243
0.264	0.5214
0.2663	0.5645
0.2677	0.5177
0.2726	0.5538
0.2729	0.5164
0.2864	0.643
0.293	0.5992
0.2944	0.4646
0.2955	0.559
0.2998	0.4739
0.3059	0.6258
0.3075	0.5967
0.3148	0.6208
0.3264	0.6511
0.3268	0.6957
0.3318	0.6
0.3352	0.6144
0.3375	0.6557
0.3397	0.6772
0.34	0.5731
0.3415	0.6037
0.3513	0.6483
0.3577	0.5318
0.3582	0.7146
0.3627	0.6121
0.3729	0.7362
0.3756	0.6432
0.3848	0.7275
0.3862	0.7388
0.3872	0.6904
0.3985	0.7433
0.4123	0.7279
0.4125	0.7623
0.4165	0.6851
0.4246	0.7142
0.4558	0.8607
0.4607	0.7654
0.4696	0.819
0.4797	0.7395
