0.116 0.127 0.046 0.173 0.001 0.033 0.105 0.008 0.121 0.178 0.069 0.023
0.076 0.122 0.075 0.105 0.017 0.008 0.149 0.104 0.142 0.128 0.046 0.028
0.089 0.119 0.001 0.065 0.162 0.157 0.049 0.11 0.111 0.011 0.1 0.026
0.041 0.043 0.092 0.052 0.184 0.053 0.129 0.159 0.101 0.06 0.021 0.065
0.068 0.047 0.134 0.008 0.123 0.101 0.13 0.102 0.011 0.097 0.115 0.064
0.139 0.035 0.067 0.151 0.026 0.066 0.065 0.111 0.096 0.043 0.193 0.008
0.037 0.103 0.032 0.039 0.133 0.04 0.106 0.117 0.053 0.111 0.124 0.105
0.171 0.019 0.164 0.183 0.04 0.067 0.043 0.015 0.055 0.006 0.137 0.1
0.087 0.126 0.072 0.029 0.079 0.138 0.052 0.067 0.068 0.121 0.053 0.108
0.051 0.032 0.011 0.074 0.107 0.008 0.136 0.162 0.05 0.184 0.054 0.131
0.006 0.137 0.071 0.119 0.129 0.014 0.059 0.123 0.13 0.139 0.008 0.065
0.017 0.02 0.063 0.104 0.157 0.032 0.152 0.041 0.131 0.004 0.124 0.155

